Car_id,Date,Customer Name,Gender,Annual Income,Dealer_Name,Company,Model,Engine,Transmission,Color,Price ($),Dealer_No ,Body Style,Phone,Dealer_Region
992,2022-03-19,Zoe,Male,525500,Star Enterprises Inc,Jeep,Wrangler,Overhead Camshaft,Manual,Pale White,23501,99301-3882,Hatchback,8349697,Pasco
993,2022-03-19,Zoey,Male,805000,Suburban Ford,BMW,528i,DoubleÂ Overhead Camshaft,Auto,Black,31001,53546-9427,SUV,6972243,Janesville
994,2022-03-19,Abigail,Male,465000,Tri-State Mack Inc,Toyota,Celica,DoubleÂ Overhead Camshaft,Auto,Pale White,31001,85257-3102,SUV,8814261,Scottsdale
995,2022-03-19,Addison,Female,13500,U-Haul CO,Mitsubishi,Montero Sport,DoubleÂ Overhead Camshaft,Auto,Pale White,53000,78758-7841,SUV,8235388,Austin
996,2022-03-19,Adele,Female,1480000,Progressive Shippers Cooperative Association No,Infiniti,I30,DoubleÂ Overhead Camshaft,Auto,Red,15000,53546-9427,SUV,7464402,Janesville
997,2022-03-19,Adeline,Male,2000000,Rabun Used Car Sales,Dodge,Ram Pickup,Overhead Camshaft,Manual,Pale White,16001,85257-3102,SUV,6095519,Scottsdale
998,2022-03-19,Adina,Male,1540000,Race Car Help,Audi,A8,Overhead Camshaft,Manual,Black,44000,78758-7841,Passenger,8018969,Austin
999,2022-03-19,Vanessa,Male,13500,Star Enterprises Inc,Mercedes-B,SLK,DoubleÂ Overhead Camshaft,Auto,Red,19000,99301-3882,Passenger,6345242,Pasco
1000,2022-03-19,Vera,Male,920000,Suburban Ford,Audi,A6,Overhead Camshaft,Manual,Pale White,24000,53546-9427,SUV,7875001,Janesville
1001,2022-03-19,Veronica,Male,1110000,Tri-State Mack Inc,Volvo,S40,Overhead Camshaft,Manual,Pale White,17000,85257-3102,Sedan,8358145,Scottsdale
1002,2022-03-19,Cecilia,Male,901000,Clay Johnson Auto Sales,Chrysler,Concorde,DoubleÂ Overhead Camshaft,Auto,Pale White,46000,78758-7841,Hardtop,8153448,Austin
1003,2022-03-19,Violet,Male,1200000,Buddy Storbeck's Diesel Service Inc,Dodge,Ram Van,DoubleÂ Overhead Camshaft,Auto,Black,60000,06457-3834,Hatchback,6783037,Middletown
1004,2022-03-19,Virginia,Male,1387000,C & M Motors Inc,Volkswagen,Cabrio,DoubleÂ Overhead Camshaft,Auto,Black,16700,60504-7114,Sedan,7337228,Aurora
1005,2022-03-19,Vivian,Male,13500,Capitol KIA,Volvo,S40,Overhead Camshaft,Manual,Red,17000,38701-8047,Sedan,7494046,Greenville
1006,2022-03-19,Vivienne,Male,970000,Chrysler of Tri-Cities,Mitsubishi,Montero,Overhead Camshaft,Manual,Black,16000,99301-3882,SUV,7849550,Pasco
1007,2022-03-19,Willa,Male,870000,Chrysler Plymouth,Chrysler,Sebring Coupe,Overhead Camshaft,Manual,Red,21000,53546-9427,Sedan,6723677,Janesville
1008,2022-03-19,Yael,Male,1250000,Classic Chevy,BMW,328i,Overhead Camshaft,Manual,Red,21000,85257-3102,Sedan,6206338,Scottsdale
1009,2022-03-19,Yara,Female,1450000,Clay Johnson Auto Sales,Chevrolet,Metro,Overhead Camshaft,Manual,Red,37000,78758-7841,Passenger,7360631,Austin
1010,2022-03-19,Yehudis,Male,13500,Diehl Motor CO Inc,Nissan,Frontier,Overhead Camshaft,Manual,Pale White,20000,06457-3834,Hatchback,7630443,Middletown
1011,2022-03-19,Yides,Male,865000,Enterprise Rent A Car,Ford,Expedition,Overhead Camshaft,Manual,Black,10000,60504-7114,SUV,6711450,Aurora
1012,2022-03-19,Alanis,Female,1270000,Enterprise Rent A Car,Dodge,Durango,DoubleÂ Overhead Camshaft,Auto,Black,24000,60504-7114,SUV,7753396,Aurora
1013,2022-03-19,Alejandra,Female,555000,Gartner Buick Hyundai Saab,Volkswagen,Passat,DoubleÂ Overhead Camshaft,Auto,Black,9000,38701-8047,Hatchback,7290737,Greenville
1014,2022-03-19,Alessandra,Male,1351000,Hatfield Volkswagen,Chevrolet,Prizm,Overhead Camshaft,Manual,Pale White,22100,99301-3882,Hatchback,6354994,Pasco
1015,2022-03-19,Alexa,Male,1962000,Iceberg Rentals,Chevrolet,Metro,DoubleÂ Overhead Camshaft,Auto,Pale White,19200,53546-9427,Passenger,6578450,Janesville
1016,2022-03-19,Alexandra,Female,1050000,McKinney Dodge Chrysler Jeep,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,12000,85257-3102,Hatchback,7137511,Scottsdale
1017,2022-03-19,Alexia,Female,1030000,Motor Vehicle Branch Office,Toyota,Tacoma,Overhead Camshaft,Manual,Pale White,24000,78758-7841,Hatchback,7225574,Austin
1018,2022-03-19,Alexis,Male,810000,Nebo Chevrolet,Dodge,Ram Van,DoubleÂ Overhead Camshaft,Auto,Black,60000,06457-3834,Hatchback,6124331,Middletown
1019,2022-03-19,Alice,Male,850000,New Castle Ford Lincoln Mercury,Mercedes-B,SL-Class,Overhead Camshaft,Manual,Red,17000,60504-7114,Hatchback,6152602,Aurora
1020,2022-03-19,Alicia,Female,750000,Pars Auto Sales,Pontiac,Grand Prix,DoubleÂ Overhead Camshaft,Auto,Red,69000,38701-8047,Passenger,6282185,Greenville
1021,2022-03-19,Alina,Male,535000,Pitre Buick-Pontiac-Gmc of Scottsdale,Ford,Windstar,Overhead Camshaft,Manual,Pale White,17000,99301-3882,Sedan,6404584,Pasco
1022,2022-03-19,Alison,Male,1640000,Progressive Shippers Cooperative Association No,Chrysler,300M,DoubleÂ Overhead Camshaft,Auto,Black,26000,53546-9427,SUV,8118116,Janesville
1023,2022-03-19,Alissa,Female,13500,Rabun Used Car Sales,Dodge,Caravan,DoubleÂ Overhead Camshaft,Auto,Black,23000,85257-3102,Hatchback,6815675,Austin
1024,2022-03-19,Aliyah,Female,13500,Race Car Help,Buick,Park Avenue,DoubleÂ Overhead Camshaft,Auto,Red,12000,78758-7841,Hatchback,8518348,Austin
1025,2022-03-19,Kelia,Male,303500,U-Haul CO,Mitsubishi,3000GT,Overhead Camshaft,Manual,Red,24500,78758-7841,Sedan,8322745,Austin
1026,2022-03-19,Andrea,Male,1100000,Progressive Shippers Cooperative Association No,Chevrolet,Monte Carlo,DoubleÂ Overhead Camshaft,Auto,Red,21000,53546-9427,Hatchback,7722008,Janesville
1027,2022-03-19,Mathis,Male,780000,Rabun Used Car Sales,Dodge,Durango,Overhead Camshaft,Manual,Black,22000,85257-3102,SUV,8094439,Scottsdale
1028,2022-03-19,Florian,Male,1060000,Race Car Help,Lexus,GS400,DoubleÂ Overhead Camshaft,Auto,Pale White,31000,78758-7841,Hatchback,6200241,Austin
1029,2022-03-19,Leo,Male,905000,Ryder Truck Rental and Leasing,BMW,528i,Overhead Camshaft,Manual,Red,29000,06457-3834,SUV,8791947,Middletown
1030,2022-03-19,Nora,Male,13500,Saab-Belle Dodge,Chevrolet,Camaro,DoubleÂ Overhead Camshaft,Auto,Black,41000,60504-7114,Sedan,6337172,Aurora
1031,2022-03-19,Pierre-Andre,Male,13500,Scrivener Performance Engineering,Cadillac,Escalade,DoubleÂ Overhead Camshaft,Auto,Black,26000,38701-8047,Sedan,6399595,Greenville
1032,2022-03-19,Esteban,Male,13500,Star Enterprises Inc,Volkswagen,Passat,DoubleÂ Overhead Camshaft,Auto,Black,9000,99301-3882,Hatchback,7551049,Pasco
1033,2022-03-19,Enzo,Male,13500,Suburban Ford,Hyundai,Sonata,Overhead Camshaft,Manual,Black,20000,53546-9427,SUV,7716093,Janesville
1034,2022-03-19,Alexander,Female,440000,New Castle Ford Lincoln Mercury,Dodge,Caravan,DoubleÂ Overhead Camshaft,Auto,Black,23000,60504-7114,Hardtop,8054262,Aurora
1035,2022-03-19,Hulya,Male,620000,U-Haul CO,Lincoln,Continental,Overhead Camshaft,Manual,Black,18000,78758-7841,Passenger,7214597,Austin
1036,2022-03-19,Andrew,Male,1235000,Saab-Belle Dodge,Subaru,Forester,Overhead Camshaft,Manual,Red,17500,60504-7114,Hardtop,6952995,Aurora
1037,2022-03-19,Quentin,Male,595000,C & M Motors Inc,Pontiac,Bonneville,DoubleÂ Overhead Camshaft,Auto,Pale White,20000,60504-7114,Hatchback,7826578,Aurora
1038,2022-03-19,Ahmed,Male,551200,Buddy Storbeck's Diesel Service Inc,Mitsubishi,Diamante,Overhead Camshaft,Manual,Red,19200,06457-3834,Hatchback,8465128,Greenville
1039,2022-03-19,Aidan,Male,13500,C & M Motors Inc,Lexus,LS400,DoubleÂ Overhead Camshaft,Auto,Pale White,46000,60504-7114,Sedan,8038397,Pasco
1040,2022-03-19,Aiden,Male,13500,Capitol KIA,Infiniti,I30,DoubleÂ Overhead Camshaft,Auto,Red,31000,38701-8047,Hatchback,7992594,Janesville
1041,2022-03-19,Alexander,Male,542000,Chrysler of Tri-Cities,Mercury,Mountaineer,DoubleÂ Overhead Camshaft,Auto,Pale White,21000,99301-3882,Hatchback,8693257,Austin
1042,2022-03-19,Ali,Male,13500,Chrysler Plymouth,Plymouth,Breeze,DoubleÂ Overhead Camshaft,Auto,Red,39000,53546-9427,Hatchback,6154837,Austin
1043,2022-03-19,Alijah,Female,13500,Classic Chevy,Plymouth,Breeze,DoubleÂ Overhead Camshaft,Auto,Pale White,22000,85257-3102,Hatchback,8342884,Middletown
1044,2022-03-19,Alvin,Male,2070000,Clay Johnson Auto Sales,Dodge,Ram Pickup,DoubleÂ Overhead Camshaft,Auto,Pale White,45000,78758-7841,Hatchback,8201995,Aurora
1045,2022-03-19,Amadou,Male,2800000,Diehl Motor CO Inc,Mercury,Sable,DoubleÂ Overhead Camshaft,Auto,Pale White,26000,06457-3834,Sedan,6251686,Greenville
1046,2022-03-19,Amar'E,Male,385000,Enterprise Rent A Car,Cadillac,Escalade,Overhead Camshaft,Manual,Black,34000,60504-7114,Sedan,8115020,Pasco
1047,2022-03-19,Amare,Male,500000,Gartner Buick Hyundai Saab,Pontiac,Bonneville,DoubleÂ Overhead Camshaft,Auto,Red,19000,38701-8047,Hatchback,6139130,Janesville
1048,2022-03-19,Amari,Male,13500,Hatfield Volkswagen,Subaru,Outback,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,99301-3882,SUV,8899108,Scottsdale
1049,2022-03-19,Andre,Male,917000,McKinney Dodge Chrysler Jeep,Plymouth,Prowler,Overhead Camshaft,Manual,Red,71000,85257-3102,Hatchback,7466976,Austin
1050,2022-03-19,Andrew,Female,13500,Motor Vehicle Branch Office,BMW,323i,DoubleÂ Overhead Camshaft,Auto,Red,19000,78758-7841,Hatchback,6157364,Janesville
1051,2022-03-20,Adriana,Female,13500,Ryder Truck Rental and Leasing,Volkswagen,Passat,Overhead Camshaft,Manual,Red,20000,06457-3834,Hatchback,8462731,Middletown
1052,2022-03-20,Adrianna,Female,590000,Saab-Belle Dodge,Audi,A6,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,60504-7114,SUV,7820916,Aurora
1053,2022-03-20,Ahuva,Male,820000,Scrivener Performance Engineering,Volvo,C70,DoubleÂ Overhead Camshaft,Auto,Black,12000,38701-8047,Hatchback,7696942,Greenville
1054,2022-03-20,Alessandra,Male,1830000,Star Enterprises Inc,Dodge,Ram Wagon,DoubleÂ Overhead Camshaft,Auto,Black,22001,99301-3882,Passenger,6779640,Pasco
1055,2022-03-20,Alessia,Male,2100000,Suburban Ford,Volvo,C70,Overhead Camshaft,Manual,Black,36001,53546-9427,Hatchback,7510752,Janesville
1056,2022-03-20,Alexa,Male,865000,Tri-State Mack Inc,Ford,Explorer,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,85257-3102,Hatchback,8876760,Scottsdale
1057,2022-03-20,Alexandra,Male,390000,U-Haul CO,Plymouth,Prowler,Overhead Camshaft,Manual,Pale White,16000,78758-7841,Hatchback,6573292,Austin
1058,2022-03-20,Alexis,Male,650000,Buddy Storbeck's Diesel Service Inc,Subaru,Outback,Overhead Camshaft,Manual,Red,49000,06457-3834,SUV,7975408,Middletown
1059,2022-03-20,Alice,Male,512000,C & M Motors Inc,Honda,Accord,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,60504-7114,Sedan,8668216,Aurora
1060,2022-03-20,Yitta,Male,13500,Gartner Buick Hyundai Saab,Toyota,Land Cruiser,DoubleÂ Overhead Camshaft,Auto,Black,21000,38701-8047,SUV,8676724,Greenville
1061,2022-03-20,Eleanor,Female,431000,Diehl Motor CO Inc,Saturn,SC,Overhead Camshaft,Manual,Red,61000,06457-3834,Hardtop,8573338,Middletown
1062,2022-03-20,Yocheved,Male,1220500,Iceberg Rentals,Ford,F-Series,Overhead Camshaft,Manual,Red,13050,53546-9427,Passenger,8740107,Janesville
1063,2022-03-20,Zissy,Male,357000,McKinney Dodge Chrysler Jeep,Acura,RL,Overhead Camshaft,Manual,Black,18000,85257-3102,SUV,7082233,Scottsdale
1064,2022-03-20,Zoe,Male,1920000,Motor Vehicle Branch Office,Mercury,Villager,Overhead Camshaft,Manual,Pale White,14000,78758-7841,Passenger,8180413,Austin
1065,2022-03-20,Zoey,Female,565000,Nebo Chevrolet,Mercedes-B,CL500,Overhead Camshaft,Manual,Red,29000,06457-3834,SUV,6774290,Middletown
1066,2022-03-20,Aarav,Male,597500,New Castle Ford Lincoln Mercury,Chevrolet,Metro,Overhead Camshaft,Manual,Pale White,13500,60504-7114,Passenger,7763940,Aurora
1067,2022-03-20,Aaron,Male,1250000,Pars Auto Sales,Chevrolet,Lumina,Overhead Camshaft,Manual,Black,42000,38701-8047,Passenger,8047297,Greenville
1068,2022-03-20,Aayan,Male,1230000,Pitre Buick-Pontiac-Gmc of Scottsdale,Lexus,LS400,Overhead Camshaft,Manual,Black,69000,99301-3882,Sedan,8090005,Pasco
1069,2022-03-20,Allison,Male,809000,Ryder Truck Rental and Leasing,Mitsubishi,Montero,Overhead Camshaft,Manual,Black,16000,06457-3834,SUV,8461153,Middletown
1070,2022-03-20,Allyson,Male,1510000,Saab-Belle Dodge,Plymouth,Voyager,Overhead Camshaft,Manual,Red,20000,60504-7114,Passenger,6658099,Aurora
1071,2022-03-20,Alma,Female,1210000,Scrivener Performance Engineering,Acura,TL,DoubleÂ Overhead Camshaft,Auto,Black,23000,38701-8047,Hatchback,6127357,Greenville
1072,2022-03-20,Alondra,Female,1275000,Star Enterprises Inc,Subaru,Forester,Overhead Camshaft,Manual,Red,26500,99301-3882,Hatchback,7843228,Pasco
1073,2022-03-20,Alyssa,Male,1292000,Suburban Ford,Oldsmobile,Bravada,Overhead Camshaft,Manual,Black,36200,53546-9427,Hatchback,8809402,Janesville
1074,2022-03-20,Amalia,Male,1165000,Tri-State Mack Inc,Saturn,SW,DoubleÂ Overhead Camshaft,Auto,Red,25500,85257-3102,Passenger,7803512,Scottsdale
1075,2022-03-20,Amanda,Male,959000,U-Haul CO,Oldsmobile,Bravada,Overhead Camshaft,Manual,Black,18000,78758-7841,Hatchback,8998836,Austin
1076,2022-03-20,Amaya,Female,965000,Progressive Shippers Cooperative Association No,Dodge,Caravan,DoubleÂ Overhead Camshaft,Auto,Pale White,38000,53546-9427,Hatchback,8962838,Janesville
1077,2022-03-20,Amber,Male,1251000,Rabun Used Car Sales,BMW,328i,Overhead Camshaft,Manual,Black,69100,85257-3102,Sedan,7558465,Scottsdale
1078,2022-03-20,Emily,Male,569000,Capitol KIA,Toyota,Camry,DoubleÂ Overhead Camshaft,Auto,Red,31000,38701-8047,Hatchback,7786964,Greenville
1079,2022-03-20,Laurene,Male,810000,Chrysler of Tri-Cities,Lexus,LS400,DoubleÂ Overhead Camshaft,Auto,Pale White,27000,99301-3882,Sedan,8314215,Pasco
1080,2022-03-20,Killian,Female,500000,Chrysler Plymouth,Chevrolet,Lumina,Overhead Camshaft,Manual,Pale White,26000,53546-9427,Passenger,6327157,Janesville
1081,2022-03-20,Paul,Male,2335000,Classic Chevy,Mercedes-B,CLK Coupe,DoubleÂ Overhead Camshaft,Auto,Pale White,22500,85257-3102,Sedan,6858514,Scottsdale
1082,2022-03-20,Tristan,Male,1240000,Clay Johnson Auto Sales,Oldsmobile,Silhouette,Overhead Camshaft,Manual,Red,34000,78758-7841,Sedan,7564008,Austin
1083,2022-03-20,Corentin,Male,1580000,Diehl Motor CO Inc,Ford,Explorer,DoubleÂ Overhead Camshaft,Auto,Red,41000,06457-3834,Hatchback,6883880,Middletown
1084,2022-03-20,Elisabeth,Male,820000,Enterprise Rent A Car,Ford,Windstar,Overhead Camshaft,Manual,Pale White,17000,60504-7114,Sedan,6342540,Aurora
1085,2022-03-20,Alexandre,Male,635000,Gartner Buick Hyundai Saab,Pontiac,Grand Am,DoubleÂ Overhead Camshaft,Auto,Red,19000,38701-8047,SUV,6232027,Greenville
1086,2022-03-20,Chloe,Male,836000,Hatfield Volkswagen,Chrysler,Sebring Coupe,DoubleÂ Overhead Camshaft,Auto,Pale White,46000,99301-3882,Sedan,8386159,Pasco
1087,2022-03-20,Angel,Male,1115000,Nebo Chevrolet,Dodge,Caravan,DoubleÂ Overhead Camshaft,Auto,Pale White,38500,06457-3834,Hatchback,7081169,Austin
1088,2022-03-20,Anthony,Male,905000,New Castle Ford Lincoln Mercury,Hyundai,Elantra,Overhead Camshaft,Manual,Red,22000,60504-7114,Sedan,6221564,Austin
1089,2022-03-20,Antonio,Female,13500,Pars Auto Sales,Chevrolet,Monte Carlo,Overhead Camshaft,Manual,Red,17000,38701-8047,Hatchback,7212311,Middletown
1090,2022-03-20,Ashton,Male,450000,Pitre Buick-Pontiac-Gmc of Scottsdale,Lexus,LS400,DoubleÂ Overhead Camshaft,Auto,Black,39000,99301-3882,Sedan,6206801,Aurora
1091,2022-03-20,Austin,Male,1015000,Progressive Shippers Cooperative Association No,Plymouth,Neon,DoubleÂ Overhead Camshaft,Auto,Black,9500,53546-9427,SUV,7100237,Greenville
1092,2022-03-20,Avery,Male,13500,Rabun Used Car Sales,Lexus,LS400,DoubleÂ Overhead Camshaft,Auto,Pale White,27000,85257-3102,Sedan,8012595,Pasco
1093,2022-03-20,Ayden,Male,13500,Race Car Help,Lexus,ES300,DoubleÂ Overhead Camshaft,Auto,Pale White,27000,78758-7841,Hatchback,6942905,Janesville
1094,2022-03-20,Benjamin,Male,510000,Ryder Truck Rental and Leasing,Ford,Focus,Overhead Camshaft,Manual,Black,49000,06457-3834,Hatchback,8122079,Austin
1095,2022-03-20,Blake,Male,645000,Saab-Belle Dodge,Mercury,Grand Marquis,Overhead Camshaft,Manual,Pale White,16000,60504-7114,SUV,7778071,Austin
1096,2022-03-21,Alicia,Female,1361000,Capitol KIA,BMW,328i,DoubleÂ Overhead Camshaft,Auto,Black,16100,38701-8047,Sedan,6292391,Greenville
1097,2022-03-21,Alina,Male,13500,Chrysler of Tri-Cities,Pontiac,Sunfire,Overhead Camshaft,Manual,Red,43000,99301-3882,Sedan,6508120,Pasco
1098,2022-03-21,Alisa,Female,1310000,Chrysler Plymouth,Acura,TL,Overhead Camshaft,Manual,Black,21000,53546-9427,Hatchback,6753526,Janesville
1099,2022-03-21,Aliza,Female,570000,Classic Chevy,Mitsubishi,Galant,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,85257-3102,Passenger,7048533,Scottsdale
1100,2022-03-21,Abdul,Male,1220000,Progressive Shippers Cooperative Association No,Oldsmobile,Silhouette,Overhead Camshaft,Manual,Pale White,14000,53546-9427,Sedan,8222537,Janesville
1101,2022-03-21,Abdullah,Male,1315000,Rabun Used Car Sales,Mercedes-B,SLK,Overhead Camshaft,Manual,Pale White,57500,85257-3102,Passenger,7198129,Scottsdale
1102,2022-03-21,Adam,Male,660000,Race Car Help,Audi,A6,Overhead Camshaft,Manual,Pale White,13000,78758-7841,SUV,7796689,Austin
1103,2022-03-21,Aditya,Male,13500,Ryder Truck Rental and Leasing,Chrysler,LHS,DoubleÂ Overhead Camshaft,Auto,Red,16000,06457-3834,Hatchback,6423104,Middletown
1104,2022-03-21,Amelia,Male,1205000,Race Car Help,Plymouth,Neon,DoubleÂ Overhead Camshaft,Auto,Pale White,27500,78758-7841,SUV,7734631,Austin
1105,2022-03-21,Amy,Male,780000,Ryder Truck Rental and Leasing,Jeep,Cherokee,DoubleÂ Overhead Camshaft,Auto,Pale White,36000,06457-3834,Sedan,7210505,Middletown
1106,2022-03-21,Ana,Male,13500,Saab-Belle Dodge,Oldsmobile,Silhouette,Overhead Camshaft,Manual,Pale White,14000,60504-7114,Sedan,6663927,Aurora
1107,2022-03-21,Anabella,Male,13500,Scrivener Performance Engineering,Volkswagen,Passat,DoubleÂ Overhead Camshaft,Auto,Black,9000,38701-8047,Hatchback,8573767,Greenville
1108,2022-03-21,Anthony,Male,594000,Iceberg Rentals,Saturn,LS,DoubleÂ Overhead Camshaft,Auto,Pale White,45000,53546-9427,Sedan,8714074,Janesville
1109,2022-03-21,Victorine,Male,13500,McKinney Dodge Chrysler Jeep,Mitsubishi,3000GT,Overhead Camshaft,Manual,Red,20000,85257-3102,Sedan,6237483,Scottsdale
1110,2022-03-21,Justin,Male,1311000,Motor Vehicle Branch Office,Toyota,Sienna,Overhead Camshaft,Manual,Red,19100,78758-7841,Passenger,8006308,Austin
1111,2022-03-21,Ismail,Male,390000,Nebo Chevrolet,Lincoln,Navigator,DoubleÂ Overhead Camshaft,Auto,Black,19000,06457-3834,Sedan,8902506,Middletown
1112,2022-03-21,Brandon,Male,427000,Scrivener Performance Engineering,Toyota,Tacoma,DoubleÂ Overhead Camshaft,Auto,Pale White,53000,38701-8047,Hatchback,7529442,Middletown
1113,2022-03-21,Brian,Female,600000,Star Enterprises Inc,Lexus,LS400,DoubleÂ Overhead Camshaft,Auto,Pale White,18000,99301-3882,Sedan,7564820,Aurora
1114,2022-03-21,Bryan,Female,355000,Suburban Ford,BMW,528i,DoubleÂ Overhead Camshaft,Auto,Pale White,62000,53546-9427,SUV,8655169,Greenville
1115,2022-03-21,Bryce,Male,845000,Tri-State Mack Inc,Porsche,Carrera Cabrio,Overhead Camshaft,Manual,Black,22000,85257-3102,Passenger,8138421,Pasco
1116,2022-03-22,Allison,Male,1165000,Clay Johnson Auto Sales,Subaru,Forester,DoubleÂ Overhead Camshaft,Auto,Black,22500,78758-7841,SUV,8192876,Austin
1117,2022-03-22,Alyssa,Female,530000,Diehl Motor CO Inc,Ford,Escort,DoubleÂ Overhead Camshaft,Auto,Red,15001,06457-3834,Passenger,6818792,Middletown
1118,2022-03-22,Amanda,Male,1900000,Enterprise Rent A Car,Acura,RL,Overhead Camshaft,Manual,Red,31001,60504-7114,SUV,8994646,Aurora
1119,2022-03-22,Amelia,Male,13500,Gartner Buick Hyundai Saab,Chrysler,Concorde,DoubleÂ Overhead Camshaft,Auto,Pale White,46000,38701-8047,SUV,8702891,Greenville
1120,2022-03-22,Amelie,Female,1485000,Hatfield Volkswagen,Mercury,Grand Marquis,DoubleÂ Overhead Camshaft,Auto,Black,9500,99301-3882,SUV,7850720,Pasco
1121,2022-03-22,Amina,Male,1950000,Iceberg Rentals,BMW,323i,DoubleÂ Overhead Camshaft,Auto,Red,15000,53546-9427,Hatchback,6919595,Janesville
1122,2022-03-22,Amira,Male,520000,McKinney Dodge Chrysler Jeep,Nissan,Sentra,DoubleÂ Overhead Camshaft,Auto,Black,16000,85257-3102,Passenger,6514513,Scottsdale
1123,2022-03-22,Amy,Male,1525000,Motor Vehicle Branch Office,Chrysler,Sebring Coupe,Overhead Camshaft,Manual,Pale White,26500,78758-7841,Sedan,7275738,Austin
1124,2022-03-22,Anastasia,Male,720000,Nebo Chevrolet,Volvo,S80,Overhead Camshaft,Manual,Pale White,21000,06457-3834,Sedan,6070508,Middletown
1125,2022-03-22,Angelica,Male,1120000,New Castle Ford Lincoln Mercury,Chevrolet,Lumina,Overhead Camshaft,Manual,Black,42000,60504-7114,Passenger,7605575,Aurora
1126,2022-03-22,Adrian,Male,570000,Saab-Belle Dodge,BMW,528i,Overhead Camshaft,Manual,Red,25000,60504-7114,SUV,7524588,Aurora
1127,2022-03-22,Ahmed,Male,850000,Scrivener Performance Engineering,Volkswagen,Passat,DoubleÂ Overhead Camshaft,Auto,Black,21000,38701-8047,Hatchback,7317072,Greenville
1128,2022-03-22,Aidan,Male,1550000,Star Enterprises Inc,Volkswagen,GTI,Overhead Camshaft,Manual,Pale White,28000,99301-3882,SUV,7153214,Pasco
1129,2022-03-22,Aiden,Male,1000000,Suburban Ford,Plymouth,Neon,DoubleÂ Overhead Camshaft,Auto,Black,9000,53546-9427,SUV,8745229,Janesville
1130,2022-03-22,Alan,Male,1240000,Tri-State Mack Inc,Chevrolet,Impala,Overhead Camshaft,Manual,Pale White,14000,85257-3102,Hatchback,8562882,Scottsdale
1131,2022-03-22,Albert,Male,1590000,U-Haul CO,Dodge,Durango,DoubleÂ Overhead Camshaft,Auto,Black,19000,78758-7841,SUV,8144027,Austin
1132,2022-03-22,Alex,Male,1275000,Progressive Shippers Cooperative Association No,Oldsmobile,Bravada,Overhead Camshaft,Manual,Black,17500,53546-9427,Hatchback,6831344,Janesville
1133,2022-03-22,Alexander,Male,1350000,Rabun Used Car Sales,Mercury,Cougar,DoubleÂ Overhead Camshaft,Auto,Black,26000,85257-3102,Hatchback,8417641,Scottsdale
1134,2022-03-22,Ali,Female,1015000,Race Car Help,Jeep,Grand Cherokee,Overhead Camshaft,Manual,Pale White,15500,78758-7841,SUV,6766956,Austin
1135,2022-03-22,Amber,Male,13500,U-Haul CO,Nissan,Pathfinder,DoubleÂ Overhead Camshaft,Auto,Pale White,75000,78758-7841,Hardtop,8765417,Austin
1136,2022-03-22,Anabelle,Male,572000,Star Enterprises Inc,Nissan,Frontier,Overhead Camshaft,Manual,Pale White,12000,99301-3882,Hatchback,6622211,Pasco
1137,2022-03-22,Anaya,Male,910000,Suburban Ford,Ford,Windstar,DoubleÂ Overhead Camshaft,Auto,Red,31000,53546-9427,Sedan,7890687,Janesville
1138,2022-03-22,Andrea,Male,1760000,Tri-State Mack Inc,Nissan,Pathfinder,DoubleÂ Overhead Camshaft,Auto,Red,31000,85257-3102,Hatchback,8471468,Austin
1139,2022-03-22,Angela,Male,1726000,U-Haul CO,Plymouth,Neon,Overhead Camshaft,Manual,Black,29600,78758-7841,SUV,6091073,Austin
1140,2022-03-22,Angelica,Male,990000,Buddy Storbeck's Diesel Service Inc,Dodge,Viper,DoubleÂ Overhead Camshaft,Auto,Red,31000,06457-3834,SUV,7686143,Middletown
1141,2022-03-22,Angelina,Male,646500,C & M Motors Inc,BMW,528i,DoubleÂ Overhead Camshaft,Auto,Pale White,62500,60504-7114,SUV,6526410,Aurora
1142,2022-03-22,Angeline,Male,2080000,Capitol KIA,Mercury,Villager,Overhead Camshaft,Manual,Pale White,14000,38701-8047,Passenger,8782822,Greenville
1143,2022-03-22,Angelique,Male,13500,Chrysler of Tri-Cities,Mitsubishi,3000GT,Overhead Camshaft,Manual,Black,18000,99301-3882,Sedan,8120491,Pasco
1144,2022-03-22,Angie,Female,13500,Chrysler Plymouth,Mercedes-B,E-Class,DoubleÂ Overhead Camshaft,Auto,Pale White,31000,53546-9427,Sedan,6005821,Janesville
1145,2022-03-22,Anna,Female,480000,Classic Chevy,Acura,RL,Overhead Camshaft,Manual,Pale White,17000,85257-3102,SUV,8009854,Scottsdale
1146,2022-03-22,Andy,Male,13500,Scrivener Performance Engineering,Chevrolet,Prizm,Overhead Camshaft,Manual,Black,27000,38701-8047,Hardtop,6096188,Greenville
1147,2022-03-22,Mateo,Male,1400000,Pars Auto Sales,Mercury,Villager,Overhead Camshaft,Manual,Pale White,16000,38701-8047,Passenger,8177981,Greenville
1148,2022-03-22,Esther,Female,13500,Tri-State Mack Inc,Chevrolet,Malibu,Overhead Camshaft,Manual,Pale White,41000,85257-3102,Hardtop,7959096,Scottsdale
